year,sex,type_of_course,no_of_graduates
2001,Females,Architecture & Building,199
2001,Females,Engineering Sciences,803
2001,Females,Services,na
2002,Males,Education,63
2002,Males,Applied Arts,na
2002,Males,Humanities & Social Sciences,591
2002,Males,Mass Communication,30
2002,Males,Accountancy,226
2002,Males,Business & Administration,318
2002,Males,Law,73
2002,Males,Natural Physical & Mathematical Sciences,276
2002,Males,Medicine,122
2002,Males,Dentistry,23
2002,Males,Health Sciences,20
2002,Males,Information Technology,365
2002,Males,Architecture & Building,134
2002,Males,Engineering Sciences,2617
2002,Males,Services,na
2002,Females,Education,163
2002,Females,Applied Arts,na
2002,Females,Humanities & Social Sciences,1609
2002,Females,Mass Communication,91
2002,Females,Accountancy,541
2002,Females,Business & Administration,751
2002,Females,Law,77
2002,Females,Natural Physical & Mathematical Sciences,699
2002,Females,Medicine,60
2002,Females,Dentistry,11
2002,Females,Health Sciences,49
2002,Females,Information Technology,199
2002,Females,Architecture & Building,224
2002,Females,Engineering Sciences,880
2002,Females,Services,na
2003,Males,Education,97
2003,Males,Applied Arts,11
2003,Males,Humanities & Social Sciences,456
2003,Males,Mass Communication,33
2003,Males,Accountancy,222
2003,Males,Business & Administration,284
2003,Males,Law,59
2003,Males,Natural Physical & Mathematical Sciences,371
2003,Males,Medicine,128
2003,Males,Dentistry,21
2003,Males,Health Sciences,15
2003,Males,Information Technology,377
2003,Males,Architecture & Building,175
2003,Males,Engineering Sciences,2948
2003,Males,Services,na
2003,Females,Education,264
2003,Females,Applied Arts,10
2003,Females,Humanities & Social Sciences,1152
2003,Females,Mass Communication,82
2003,Females,Accountancy,524
2003,Females,Business & Administration,693
2003,Females,Law,81
2003,Females,Natural Physical & Mathematical Sciences,742
2003,Females,Medicine,66
2003,Females,Dentistry,11
2003,Females,Health Sciences,48
2003,Females,Information Technology,242
2003,Females,Architecture & Building,235
2003,Females,Engineering Sciences,1016
2003,Females,Services,na
2004,Males,Education,76
2004,Males,Applied Arts,11
2004,Males,Humanities & Social Sciences,383
2004,Males,Mass Communication,34
2004,Males,Accountancy,234
2004,Males,Business & Administration,325
2004,Males,Law,56
2004,Males,Natural Physical & Mathematical Sciences,409
2004,Males,Medicine,122
2004,Males,Dentistry,14
2004,Males,Health Sciences,11
2004,Males,Information Technology,412
2004,Males,Architecture & Building,137
2004,Males,Engineering Sciences,3022
2004,Males,Services,na
2004,Females,Education,336
2004,Females,Applied Arts,14
2004,Females,Humanities & Social Sciences,993
2004,Females,Mass Communication,109
2004,Females,Accountancy,387
2004,Females,Business & Administration,742
2004,Females,Law,91
2004,Females,Natural Physical & Mathematical Sciences,781
2004,Females,Medicine,77
2004,Females,Dentistry,18
2004,Females,Health Sciences,78
2004,Females,Information Technology,309
2004,Females,Architecture & Building,185
2004,Females,Engineering Sciences,1179
2004,Females,Services,na
2005,Males,Education,86
2005,Males,Applied Arts,11
2005,Males,Humanities & Social Sciences,351
2005,Males,Mass Communication,36
2005,Males,Accountancy,211
2005,Males,Business & Administration,322
2005,Males,Law,62
2005,Males,Natural Physical & Mathematical Sciences,321
2005,Males,Medicine,123
2005,Males,Dentistry,22
2005,Males,Health Sciences,16
2005,Males,Information Technology,363
